모델명,연료,트림,가격
올 뉴 투싼,가솔린,1.6 터보 4WD,1850
카니발 4세대,가솔린,7인승 시그니처,3140
G90,가솔린,3.8 AWD,3650
G80,가솔린,3.3 GDI AWD,2830
셀토스,가솔린,1.6 터보 2WD,1465
셀토스,디젤,1.6 2WD,1389
그랜저 HG,가솔린,HG300 노블,680
G4 렉스턴,디젤,2.2 4WD,1630
G80 (RG3),가솔린,3.5 터보 AWD,4180
G80,가솔린,3.3 GDI AWD,1999
아반떼 MD,가솔린,M16 GDI 스마트,450
올 뉴 카니발,디젤,9인승 아웃도어,1650
에쿠스(신형),가솔린,VS380,1380
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1500
뉴코란도 C,디젤,2.0 CVT 2WD,280
포르테,가솔린,1.6 GDI 럭셔리,390
더 뉴 모닝,가솔린,스마트,530
더 뉴 맥스크루즈,디젤,2.2 4WD,2000
뉴모닝,가솔린,밴,219
SM6,LPG,2.0 LPe RE,870
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,9990
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,3750
뉴코란도 C,디젤,2.0 RX 2WD,890
더 뉴 쏘렌토 4세대,가솔린,2.5T 2WD,3870
넥쏘,수소,프리미엄,1830
더 뉴 SM6,가솔린,1.3 TCe RE,1900
그랜저 (GN7),가솔린,3.5  2WD,3149
올 뉴 프라이드,가솔린,1.6 GDI 해치백,470
i30 cw,가솔린,2.0 VVT 익스트림,459
올 뉴 K7,가솔린,2.4 GDI 리미티드,1200
뉴체어맨 W,가솔린,CW600 4TRONIC,480
뉴 스타일 코란도 C,디젤,2.2 익스트림 2WD,750
올 뉴 쏘렌토,디젤,2.0 2WD,1260
뉴카렌스,LPG,LPI 2.0 GLX,370
스포티지 4세대,디젤,2.0 2WD 노블레스,1220
더 뉴 카니발,가솔린,9인승 하이리무진,2720
더 넥스트 스파크,가솔린,LT,499
더 뉴 팰리세이드,가솔린,3.8 2WD,3780
GV80,가솔린,2.5T  AWD,5380
더 뉴 모닝,가솔린,밴,270
쏘나타 하이브리드 (DN8),가솔린+전기,인스퍼레이션,1779
G90,가솔린,3.8,2950
더 뉴 K5 2세대,가솔린,2,1470
그랜저 HG,가솔린,HG300 프리미엄,580
스팅어,디젤,2.2  AWD,1820
스팅어 마이스터,가솔린,2.5 마스터즈 아크로 에디션,4090
i30(신형),가솔린,1.6 GDI 익스트림,550
i30(신형),디젤,1.6 VGT 유니크,620
더 뉴 i40 살룬,디젤,1.7 VGT,829
G80 (RG3),가솔린,2.5 터보 AWD,3200
쏘나타 뉴 라이즈 하이브리드,가솔린+전기,프리미엄,1060
더 뉴 아반떼 (CN7),가솔린,2.0 N,3450
EV6,전기,롱레인지 4WD,4399
그랜저 HG,LPG,LPG HG300 익스클루시브,3333
QM3,디젤,RE,540
K5 하이브리드 3세대,가솔린+전기,노블레스,2540
캐스퍼,가솔린,스마트,1090
베뉴,가솔린,1.6 플럭스,1390
그랜저 뉴 럭셔리,LPG,LPI Q270 모범형,270
올 뉴 말리부,가솔린,2.0 터보 LTZ,1290
아반떼 (CN7),LPG,1.6 LPi,1199
제네시스 DH,가솔린,G380 프레스티지 AWD,1429
제네시스 DH,가솔린,G380 프레스티지 AWD,1490
G70,가솔린,2.0T,1950
카니발 4세대,가솔린,9인승 하이리무진,6390
K3,가솔린,노블레스,500
올 뉴 카니발,가솔린,9인승 노블레스,1250
아반떼 AD,가솔린,1.6 GDI 스마트,859
더 뉴 아베오 세단,가솔린,1.4 터보 LS,575
K9,가솔린,3.8 GDI 프레스티지,860
그랜저 HG,가솔린,HG240 모던,870
스포티지 5세대,가솔린,1.6 터보 4WD,2940
LF 쏘나타,디젤,1.7  스마트,640
더 뉴 K5,가솔린,럭셔리,560
GV70,가솔린,2.5T  AWD,3990
제네시스 DH,가솔린,G330 프리미엄,1090
더 뉴 카니발,디젤,9인승 프레스티지,1430
더 뉴 레이,가솔린,프레스티지,1270
쏘나타 뉴 라이즈,가솔린,2.0 스마트,1220
올 뉴 쏘렌토,디젤,2.0 2WD,1439
스파크,가솔린,스트라이프 에디션,380
K5 3세대,가솔린,2,1939
더 뉴 모닝,가솔린,스마트,399
올 뉴 쏘렌토,디젤,2.0 2WD,1690
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1000
K7 프리미어 하이브리드,가솔린+전기,노블레스,2460
그랜저 HG,가솔린,HG240 모던,550
더 K9,가솔린,3.3 T-GDI,1690
스포티지 더 볼드,디젤,1.6 2WD,1330
올 뉴 카니발,디젤,9인승 프레스티지,1499
YF 쏘나타,가솔린,Y20 탑,430
올 뉴 K7,디젤,2.2  프레스티지,1320
제네시스 DH,가솔린,G380 프레스티지 AWD,1740
에쿠스(신형),가솔린,VS380,580
렉스턴 스포츠 칸,디젤,2.2 2WD,1390
말리부,가솔린,2.0 LTZ 디럭스팩,279
EV9,전기,롱레인지 4WD,5899
로체 이노베이션,LPG,LPI LX20,325
GV80,가솔린,3.5T  AWD,4590
LF 쏘나타,가솔린,2.0 스마트,830
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2330
GV70,가솔린,2.5T  AWD,4580
뉴SM3,가솔린,RE,139
코란도 스포츠,디젤,CX5 2WD,590
뉴SM3,가솔린,PE,235
G80 (RG3),가솔린,2.5 터보 AWD,4650
아반떼 하이브리드 (CN7),가솔린+전기,스마트,1290
스포티지 5세대,가솔린,1.6 터보 2WD,2400
K3,가솔린,럭셔리,490
K8,가솔린,2.5  2WD,2380
EQ900,가솔린,3.3 T-GDI AWD,2230
K9,가솔린,3.3 GDI 노블레스,870
스파크,가솔린,밴,170
마티즈 크리에이티브,가솔린,재즈,250
아반떼 (CN7),가솔린,2.0 N,2790
싼타페 TM,디젤,2.2 2WD,2350
팰리세이드,디젤,2.2 4WD,6090
카니발 4세대,가솔린,9인승 노블레스,2890
SM6,LPG,2.0 LPe RE,1390
K5 3세대,가솔린,1.6 터보,1490
올 뉴 쏘렌토,디젤,2.0 2WD,1630
SM3 네오,가솔린,LE,580
코란도 스포츠,디젤,CX7 4WD,429
아반떼 하이브리드 (CN7),가솔린+전기,모던,1280
QM3,디젤,RE,833
라세티 프리미어,가솔린,1.8 CDX ID,200
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3835
K8 하이브리드,가솔린+전기,시그니처,3260
K8 하이브리드,가솔린+전기,시그니처,4020
스포티지 5세대 하이브리드,가솔린+전기,프레스티지 2WD,2810
모닝 어반 (JA),가솔린,밴,990
그랜저 IG,가솔린,2.4 프리미엄,1260
아이오닉 하이브리드,가솔린+전기,N,1170
디 올 뉴 니로,가솔린+전기,프레스티지,2050
그랜드 스타렉스,디젤,냉동차,820
그랜저 IG,가솔린,3.0 익스클루시브,2450
벨로스터 (JS),가솔린,1.6 터보 스포츠,1590
G70,가솔린,3.3T 스포츠 AWD,3390
더 뉴 카니발,디젤,9인승 럭셔리,1799
더 뉴 그랜저 IG,가솔린,3.3,1880
크루즈,가솔린,1.8 LTZ+,190
K5 2세대,LPG,LPI SX,955
스팅어,디젤,2.2  AWD,2200
그랜저 HG,LPG,LPG HG300 모던,599
카니발 4세대,디젤,7인승 노블레스,2399
카니발 4세대,디젤,9인승 프레스티지,1959
EQ900,가솔린,3.8 GDI AWD,1800
아반떼 AD,디젤,1.6 e-VGT 스타일,510
올 뉴 말리부,가솔린,2.0 터보 LTZ,799
카니발 4세대,가솔린,9인승 시그니처,3450
체어맨 H,가솔린,600S 최고급형,299
G80,가솔린,3.3 GDI AWD,1099
SM5 노바,LPG,LPLi LE,480
스토닉,디젤,1.6,1100
올 뉴 카니발,가솔린,7인승 하이리무진,1450
넥쏘,수소,프리미엄,2950
G90,가솔린,3.8 AWD,3200
K7 프리미어,가솔린,2.5 GDI 프레스티지,1730
코나,가솔린,1.6 터보 2WD,1199
K8 하이브리드,가솔린+전기,시그니처,3600
모닝 어반 (JA),가솔린,프레스티지,870
K5 3세대,가솔린,2,2120
EV9,전기,롱레인지 4WD,6580
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄 초이스,2200
팰리세이드,디젤,2.2 4WD,2470
마스터,디젤,2.3 밴 L,1550
아반떼 MD,가솔린,M16 GDI 럭셔리,9999
그랜저 IG,가솔린,2.4 프리미엄,1880
그랜저 HG,가솔린,HG240 모던 컬렉션,1389
올 뉴 카니발,디젤,7인승 리무진,1070
볼트 EUV,전기,프리미어,2880
어메이징 뉴 크루즈,디젤,2.0  LTZ,440
액티언 2세대,가솔린,1.5 2WD,3070
더 뉴 쏘렌토,디젤,2.2 2WD,1889
뉴코란도 C,디젤,2.0 CVS 4WD,349
더 뉴 K5 2세대,가솔린,2,1650
아반떼 MD,가솔린,M16 GDI 블루세이버,323
그랜저 IG 하이브리드,가솔린+전기,프리미엄,1990
올 뉴 말리부,가솔린,1.5 터보 LT,790
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄,2850
올 뉴 렉스턴,디젤,2.2 4WD,2890
올 뉴 K3,가솔린,프레스티지,1590
아반떼 쿠페,가솔린,2.0 GDi 프리미엄,430
올 뉴 K7,가솔린,2.4 GDI 노블레스,1720
그랜저 IG,가솔린,2.4 프리미엄,1780
더 뉴 쏘렌토,디젤,2.2 2WD,1520
트랙스,가솔린,1.4 LT 래더패키지,518
GV80,가솔린,3.5T  AWD,5390
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,920
아반떼 MD,가솔린,M16 GDI 디럭스,440
그랜저 HG,가솔린,HG240 모던,470
코나 하이브리드 (SX2),가솔린+전기,인스퍼레이션,3390
에쿠스(신형),가솔린+CNG,VS460,550
카니발 4세대,디젤,9인승 시그니처,2790
쏘나타 (DN8),가솔린,2,1680
올란도,LPG,LPG LT,930
GV70,가솔린,2.5T  AWD,5999
싼타페 TM,가솔린,2.0T 2WD,2450
G80 (RG3),가솔린,2.5 터보 AWD,6599
그랜저 IG,가솔린,3.0 익스클루시브,1800
EQ900,가솔린,3.8 GDI AWD,3000
더 뉴 K7,가솔린,3.0 GDI 프레스티지,700
카니발 4세대,디젤,9인승 시그니처,2230
GV80,가솔린,2.5T  AWD,5950
SM6,가솔린,2.0 프라임 SE,1030
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1850
카니발 4세대,디젤,7인승 시그니처,3620
더 뉴 모닝,가솔린,럭셔리,600
올 뉴 모닝,가솔린,디럭스 스페셜,323
어메이징 뉴 크루즈,가솔린,1.4 터보 LTZ,519
그랜저 HG,가솔린,HG300 로얄,590
카니발 4세대,디젤,9인승 시그니처,3997
더 뉴 레이,가솔린,시그니처,1050
아반떼 (CN7),가솔린,1.6,1620
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,2070
GV80,가솔린,3.5T  AWD,6180
더 뉴 K5 2세대,가솔린,2,1530
어메이징 뉴 크루즈,가솔린,1.8 LTZ,590
K5 3세대,가솔린,1.6 터보,2600
쏘나타 뉴 라이즈,가솔린,2.0 모던,1540
렉스턴 스포츠 칸,디젤,2.2 4WD,1850
스포티지 4세대,디젤,1.7 2WD 노블레스,1190
스포티지 더 볼드,디젤,2.0 2WD,1940
GV80,디젤,3.0  AWD,3850
스타리아,디젤,투어러 11인승,2300
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3280
싼타페 TM,디젤,2.0 2WD,1690
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,1980
SM6,LPG,2.0 LPe LE,790
아반떼 (CN7),가솔린,1.6,1780
i30 (PD),가솔린,1.6 터보,950
코란도 투리스모,디젤,4WD 샤토 9인승,1290
G80,가솔린,3.3 GDI AWD,1970
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,1055
아반떼 HD,가솔린,1.6 VVT S16,260
올 뉴 K7,가솔린,3.3 GDI 노블레스,1450
그랜드 스타렉스,디젤,캠핑카,1090
그랜저 HG,가솔린,HG300 익스클루시브,800
그랜저 HG,LPG,LPG HG300 모던,500
스타리아,디젤,카고 3인승,2180
LF 쏘나타,LPG,LPI 프리미엄 스페셜,1330
SM6,LPG,2.0 LPe LE,570
SM6,가솔린,1.6 TCe LE,699
더 뉴 레이,가솔린,스탠다드,840
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,4500
제네시스,가솔린,BH330 그랜드,739
K7 프리미어,가솔린,2.5 GDI 프레스티지,1440
올 뉴 K3,가솔린,트렌디,1100
체어맨 W,가솔린,CW700,340
GV70,가솔린,2.5T  2WD,4850
SM3 네오,가솔린,RE,410
GV80,가솔린,2.5T  2WD,4800
레이,가솔린,디럭스,530
뉴SM3,가솔린,LE,200
그랜드 스타렉스,디젤,5인승 밴,1500
G80 (RG3),가솔린,2.5 터보 AWD,4699
K7 하이브리드,가솔린+전기,700h 프레스티지,1150
더 뉴 셀토스,가솔린,1.6 터보 2WD,2570
뉴코란도 C,디젤,2.0 CVT 4WD,330
아반떼 (CN7),가솔린,2.0 N,2270
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,679
스팅어,가솔린,2.0 터보 2WD,1750
더 뉴 K5 3세대,가솔린,1.6 터보,2690
올 뉴 K7,가솔린,3.3 GDI 리미티드 플러스,1649
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,3320
제네시스,가솔린,BH330 모던,649
더 뉴 그랜저 IG,가솔린,2.5,2810
스포티지 4세대,디젤,1.7 2WD 노블레스,1350
SM6,가솔린,1.6 TCe RE,860
벨로스터 (JS),가솔린,1.4 터보 모던,1220
더 뉴 K3 2세대,가솔린,1.6,2070
엑센트(신형),가솔린,1.4 VVT 모던,650
더 뉴 싼타페,디젤,2.2 4WD,9999
G80 (RG3),가솔린,2.5 터보 AWD,5950
K7 프리미어,가솔린,2.5 GDI 프레스티지,2260
더 뉴 그랜드 스타렉스,LPG,어린이보호차 LPi,2730
GV80,가솔린,2.5T  2WD,4990
쏘나타 뉴 라이즈,LPG,LPI 프리미엄,1150
K3,가솔린,노블레스,749
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,3050
그랜저 (GN7),가솔린,2.5  2WD,3240
쏘나타 뉴 라이즈,가솔린,2.0 모던,1430
코란도 스포츠,디젤,CX7 4WD,899
더 뉴 레이,가솔린,프레스티지,1020
뉴코란도 C,디젤,2.0 CVT 2WD,455
카니발 4세대,디젤,9인승 노블레스,2499
뉴SM5 플래티넘,가솔린,LE,299
그랜드 스타렉스,디젤,5인승 밴,780
K7 프리미어,가솔린,2.5 GDI X 에디션,2730
제네시스 DH,가솔린,G330 모던 AWD,1750
더 뉴 K9,가솔린,3.8 GDI 노블레스,1140
스팅어 마이스터,가솔린,3.3 GT AWD 마스터즈 터보 패키지,2999
그랜저 IG,LPG,3.0 LPi 장애인용,1890
더 뉴 니로,가솔린+전기,1.6 HEV,2085
올 뉴 카니발,가솔린,7인승 하이리무진,1850
XM3,가솔린,1.6 GTe LE Plus,1370
K5,가솔린,2.0 럭셔리,1111
엑센트(신형),가솔린,1.6 GDI 프리미어,490
더 뉴 K7,LPG,LPI 3.0 프레스티지,770
더 뉴 레이,가솔린,프레스티지,910
더 넥스트 스파크,가솔린,LT,550
더 뉴 싼타페,디젤,2.2 2WD,3430
캐스퍼,가솔린,터보 디 에센셜,1620
싼타페 DM,디젤,2.0 2WD 프리미엄,1099
스파크,LPG,LPG LT,360
더 K9,가솔린,3.8 GDI AWD,2860
G80 (RG3),가솔린,2.5 터보 2WD,2690
K5,LPG,LPI 프레스티지,430
더 뉴 쏘렌토,디젤,2.2 4WD,1780
제네시스 DH,가솔린,G330 프리미엄,890
베뉴,가솔린,1.6 스마트,1249
스팅어,가솔린,3.3 터보 2WD,1580
i30 (PD),가솔린,1.4 터보,799
EV6,전기,롱레인지,2790
싼타페 TM,디젤,2.0 2WD,1940
쏘나타 더 브릴리언트,LPG,LPI 프리미엄,520
카니발 4세대,가솔린,9인승 노블레스,2710
캐스퍼,가솔린,터보 디 에센셜,1550
아반떼 AD,가솔린,1.6 GDI 모던,1030
더 뉴 트랙스,가솔린,1.4 LT,920
K8,가솔린,3.5  4WD,8888
코나,디젤,1.6 2WD,1100
스포티지 5세대,가솔린,1.6 터보 4WD,8888
카니발 4세대,디젤,9인승 하이리무진,4590
아반떼 HD,가솔린,1.6 VVT S16,399
셀토스,가솔린,1.6 터보 2WD,2290
셀토스,디젤,1.6 2WD,1580
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,1999
SM5 노바,가솔린,클래식,9999
올 뉴 카니발,가솔린,7인승 리무진,1540
티볼리 에어,디젤,RX 4WD,890
모하비 더 마스터,디젤,3.0 4WD 5인승,3250
제네시스 DH,가솔린,G330 프리미엄 AWD,1199
팰리세이드,가솔린,3.8 4WD,9999
더 뉴 트랙스,가솔린,1.4 LT,895
쏘렌토 R,LPG,LPG 2.7 2WD TLX,559
렉스턴 스포츠,디젤,2.2 4WD,1870
아반떼 MD,가솔린,M16 GDI 럭셔리,489
뉴SM5(신형),LPG,LPLI SE,210
더 뉴 K5,가솔린,프레스티지,890
그랜저 IG,가솔린,2.4 익스클루시브,1650
더 뉴 셀토스,가솔린,2.0 2WD,2290
더 뉴 그랜드 스타렉스,디젤,어반 9인승,9999
더 뉴 그랜저 IG,LPG,3.0 LPi,1890
엑센트(신형),가솔린,1.4 VVT 프리미어,490
SM5 노바,가솔린,클래식,790
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2290
더 뉴 아반떼 (CN7),가솔린,1.6,8888
LF 쏘나타,가솔린,2.0 스마트,1070
뉴SM3,가솔린,SE,279
스파크,가솔린,LS,235
뉴코란도 C,디젤,2.0 CVT 2WD,269
G80 (RG3),가솔린,2.5 터보 AWD,4760
프리우스 4세대,가솔린+전기,1.8,2150
X5 (G05),가솔린,xDrive 40i xLine,6180
5시리즈 (G30),가솔린,520i 럭셔리,3230
E-클래스 W213,디젤,E220d 쿠페,3350
X4 (G02),가솔린,xDrive20i M 스포츠 X 온라인 익스클루시브 에디션,6480
S-클래스 W222,가솔린+전기,S560eL,7330
E-클래스 W213,가솔린,E300 아방가르드,2580
쿠퍼,가솔린,5도어 클래식,2950
티구안 2세대,디젤,2.0 TDI 프리미엄,2560
5시리즈 (G30),가솔린,530i M 스포츠,2580
B-클래스 W246,가솔린,B220,1410
레인지로버 이보크,디젤,2.2 SD4 퓨어,1520
E-클래스 W213,가솔린,E300 4MATIC 익스클루시브,3250
GLA-클래스 X156,디젤,GLA200 d,1500
E-클래스 W213,가솔린,E450 4MATIC 카브리올레,4850
아테온,디젤,2.0 TDI 프레스티지,2190
E-클래스 W213,가솔린,E300 익스클루시브,2900
아테온,디젤,2.0 TDI 프레스티지,2299
5시리즈 (G30),가솔린,520i 럭셔리,2890
GLC-클래스 X253,가솔린+전기,GLC300e 4MATIC 쿠페 프리미엄 패키지,5950
E-클래스 W213,가솔린,E250 AMG Line,5190
GLA-클래스 X156,가솔린,GLA220,2050
S-클래스 W223,가솔린,마이바흐 S580 4MATIC,24900
Z4 (G29),가솔린,sDrive20i M 스포츠,6090
7시리즈 (G11),가솔린,M760Li xDrive,5620
쿠퍼 컨트리맨,가솔린,클래식,3150
A-클래스 W176,가솔린,A45 AMG 4MATIC,2730
디스커버리 스포츠,디젤,2.0 TD4 HSE 럭셔리,1590
E-클래스 W212,디젤,E220 CDI 아방가르드,1120
7시리즈 (G11),디젤,730Ld xDrive M 스포츠,3770
5시리즈 (G30),가솔린,530i xDrive M 스포츠 플러스,4100
MKC,가솔린,2.0 AWD,1990
그랜드 체로키(WL),가솔린,L 3.6 서밋 리저브,5100
큐브,가솔린,1.8 SL,519
A6 (C8),가솔린,45 TFSI 콰트로 프리미엄,2950
E-클래스 W213,가솔린,E250 AMG Line,5490
A-클래스 W177,가솔린,A220 해치백,3700
골프 7세대,디젤,2.0 TDI 40th 에디션,1370
S-클래스 W222,가솔린,S500L,2890
타이칸,전기,터보,11250
C-클래스 W205,디젤,C250 d 4MATIC,9999
X5 (G05),가솔린,xDrive 40i xLine,10490
CLA-클래스 C117,디젤,CLA200 d,1190
모델 Y,전기,RWD,4700
모델 3,전기,퍼포먼스,6900
911 (992),가솔린,타르가 4 GTS,26400
A-클래스 W177,가솔린,A220 세단,2160
E-클래스 W213,디젤,E220d 쿠페,2450
골프 7세대,디젤,2.0 TDI,1190
X4 (G02),디젤,xDrive20d M 스포츠,6950
ES300h 7세대,가솔린+전기,럭셔리,4050
5시리즈 (G30),가솔린,530i M 스포츠,5650
캘리포니아,가솔린,T 3.9 V8,12300
3시리즈 (G20),디젤,320d 럭셔리,2790
쿠퍼,가솔린,기본형,999
S-클래스 W222,디젤,S350 d 4MATIC,2980
GLE-클래스 W167,디젤,GLE400d 4MATIC 쿠페,6590
V60 크로스컨트리 2세대,가솔린,B5 프로 AWD,3650
XE,디젤,20d 프레스티지,870
E-클래스 W213,디젤,E220d 4MATIC 익스클루시브,2200
1시리즈 (F40),가솔린,120i 어드밴티지,2760
S60,디젤,D2,900
8시리즈 (G15),가솔린,M850i xDrive 인디비주얼 에디션 그란쿠페,11200
C-클래스 W205,가솔린,C200 카브리올레,2699
M6 (E63),가솔린,M6 쿠페,2650
3시리즈 GT (F34),디젤,GT 320d xDrive,2550
S-클래스 W222,디젤,S350L d 4MATIC,3940
프리우스 프라임,가솔린+전기,1.8,2690
플라잉스퍼 1세대,가솔린,6,1799
3시리즈 (F30),디젤,320d M 스포츠,1679
3시리즈 GT (F34),디젤,GT 320d,1080
E-클래스 W213,가솔린,E250 익스클루시브,5190
LS500 5세대,가솔린,3.5 플래티넘 AWD,4449
E-클래스 W213,가솔린,E53 AMG 4MATIC+,9999
E-클래스 W213,가솔린,E300 4MATIC 익스클루시브 인텔리전트 드라이브,2700
X6 (G06),디젤,xDrive40d M 스포츠 온라인 익스클루시브,13500
X3 (G01),가솔린,xDrive 20i M 스포츠,6970
모델 Y,전기,RWD,4690
A4 (B9),가솔린,40 TFSI 프리미엄,2200
3시리즈,가솔린,318Ci 쿠페,4990
뉴 카이엔,디젤,3.0,2250
E-클래스 W211,가솔린,E200K 아방가르드,349
E-클래스 W213,디젤,E220d 4MATIC 익스클루시브,2790
X6 (F16),디젤,xDrive 30d,2780
레인지로버 4세대,디젤,4.4 SDV8 AB,3690
E-클래스 W212,디젤,E220 블루텍 아방가르드 스포츠,1410
ES300h 7세대,가솔린+전기,이그제큐티브,9999
랭글러 (JK),가솔린,3.6 루비콘 4도어,2980
E-PACE,가솔린,P250 SE,1780
Q50,디젤,2.2d 프리미엄,780
모델 3,전기,퍼포먼스,6650
5시리즈 (G30),가솔린,530i xDrive M 스포츠 플러스,3580
RX350h 5세대,가솔린+전기,럭셔리,7480
X5 (G05),가솔린,xDrive 40i M 스포츠,12900
어코드 10세대,가솔린+전기,2.0 하이브리드 투어링,3329
X6 (E71),디젤,30d,1697
모델 3,전기,롱 레인지,4450
1시리즈 (F20),디젤,118d M 스포츠 섀도우 5도어,1530
CLS-클래스 C257,가솔린,CLS450 4MATIC AMG Line,4990
익스플로러,가솔린,3.5 리미티드 4WD,999
쿠퍼 SD,디젤,기본형,570
A6 (C8),디젤,40 TDI 프리미엄,3650
파나메라,가솔린,4.8 GTS,5370
S-클래스 W223,가솔린,마이바흐 S580 4MATIC,21500
CLS-클래스 C257,가솔린,CLS450 4MATIC AMG Line,4180
508 2세대,디젤,1.5 BlueHDi GT,2610
3시리즈 (F30),디젤,320d,570
노틸러스 1세대,가솔린,2.7 리저브 AWD,2790
5시리즈,가솔린,520i,1450
CLS-클래스 C257,가솔린,AMG CLS53 4MATIC+,6550
쿠퍼 SD 컨트리맨,디젤,기본형,750
3시리즈 GT (F34),디젤,GT 320d xDrive,1950
E-클래스 W213,가솔린,E250 익스클루시브,4230
5시리즈 (F10),가솔린,528i xDrive,1390
LS600hL,가솔린+전기,5인승,855
GLA-클래스 X156,가솔린,GLA220 프리미엄,2390
S-클래스 W222,디젤,S350 블루텍 4MATIC,2350
CLS-클래스 W218,디젤,CLS250 CDI,1450
그랜드 체로키(WL),가솔린,L 3.6 서밋 리저브,6335
124 스파이더,가솔린,1.4,3950
쿠퍼 컨트리맨,가솔린,클래식,9999
S-클래스,가솔린,S500L,340
4시리즈 (F32),가솔린,430i M 스포츠 컨버터블,2090
GLC-클래스 X253,가솔린,AMG GLC43 4MATIC 쿠페,6900
레인지로버 이보크,가솔린,2.0 Si4 다이나믹 쿠페,1450
EQS V297,전기,EQS450 4MATIC,10700
E-클래스 W213,가솔린,E300 4MATIC AMG Line,3990
911 (992),가솔린,카레라 4 카브리올레,16300
S-클래스 W222,가솔린,S63 AMG 4MATIC,3978
